Нөгөө талаар Хөвсгөлийн байгалийн цогцолбор газарт нэвтрэхэд 1,000 төгрөг авдаг .	Нөгөө тал @аар Хөвсгөл @ийн байгал @ийн цогцолох @бор газар @т нэвтрэх @д 1,000 төгрөг авах @даг .
Гадаад руу, хот руу явсан ч ажлаа алдахгүйгээр цахимаар бүх асуудлаа шийддэг болсон.	Гадаа @@д руу , хот руу явах @@сан ч ажил @@аа алдах @@гүй @@ээр цахим @@аар бүх асуух @@дал @@аа шийд @@эх @@дэг болох @@сон .
Япон улсад 300 гаруй мянган хүүхэд энэ өвчнөөр өвдөж, оношлогдсон байгаа.	Япон улс @@д 300 гаруй мянга @@н хүүхэд энэ өвчин @@өөр өвдөх @@ж, онош @@лох @@гдох @@сон байх @@гаа .
Одоогоор хэдэн охин бусадтай хүчээр гэрлэхээр хилийн чанад руу явсан тухай албан ёсны тоо байхгүй.	Одоо @@оор хэд @@н охин бусад @@тай хүч @@ээр гэр @@лэх @@ээр хил @@ийн чанад руу явах @@сан тухай алба @@н ёс @@ы тоо байх @@гүй .
Энэ амьдралд сайн сайхан зүйл олон байна.	Энэ амьдрах @@л @@д сайн сайн @@хан зүйл олон байх @@на .
Би МАН-ын үе үеийн дарга нарыг Монголынхоо, намынхаа төлөө ажилласан гэдэгт чин сэтгэлээсээ итгэдэг, хүндэлдэг.	Би МАН @@ын үе үе @@ийн дарга нар @@ыг Монгол @@ын @@оо , нам @@ын @@аа төлөө ажил @@лах @@сан гэх @@дэг @@т чин сэтгэх @@л @@ээс @@ээ итгэх @@дэг, хүндлэх @@дэг .
Энэ улсад Хятад-Пакистаны эдийн засгийн корридор байгуулах $60 тэрбум орчмын том төсөл яригдаж байгаа.	Энэ улс @@д Хятад - Пакистан @@ы эд @@ийн засах @@г @@ийн корридор байх @@уулах $60 тэрбум орчим @@ын том төсөл ярих @@гдах @@ж байх @@аа .
Тэгвэл тавдугаар сарын 1-ний өдрөөс өмнө улс төрийн 13 нам нөхөн сонгуульд оролцохоор баримт бичгээ СЕХ-д өгсөн байна.	Тэгэх @@вэл тав @@дугаар сар @@ын 1-ний өдөр @@өөс өмнө улс төр @@ийн 13 нам нөхөх @@н сонгох @@ууль @@д орох @@лцох @@оор баримт бичих @@г @@ээ СЕХ-д өгөх @@сөн байх @@на .
АНУ-БНАСАУ-ын харилцааны сайжралыг Монгол Улс анхнаас нь хүссэн, дэмжсэн, харилцаа үнэхээр сайжраасай билээ.	АНУ-БНАСАУ @@ын харилцах @@аа @@ы сайн @@жрих @@л @@ыг Монгол Улс анх @@аас нь хүсэх @@сэн , дэмжих @@сэн , харилцах @@аа үнэн @@хээр сайн @@жрах @@аасай билээ .
2ш ул бетон авахад бэлтгэсэн байна.	2ш ул бетон авах @@д бэлтгэх @@сэн байх @@на .
Бид компанийн 28%-тай тэнцэх хувьцааг санал болгож 3.7 тэрбум төгрөг татан төвлөрүүлэхээр ажиллаж байна.	Би @@д компани @@ийн 28% @@тай тэнцэх хувь @@цаа @@г санах @@л болох @@гох @@ж 3.7 тэрбум төгрөг татах @@н төв @@лөрөх @@үүлэх @@ээр ажил @@лах @@ж байх @@на .
Зам тээврийн ослын улмаас 1 хүний амь нас хохирч, 18 хүн хүнд, хөнгөн байдлаар гэмтэж бэртсэн байна.	Зам тээвэр @@ийн осол @@ын улам @@аас 1 хүн @@ий амь нас хохирох @@ч , 18 хүн хүнд , хөнгөн байх @@дал @@аар гэмтэх @@ж бэртэх @@сэн байх @@на .
Хамгийн хачин нь 27-ны өдөр нь намайг ажлаас чөлөөлсөн тушаалыг Батлан хамгаалахын сайд асан Ц.Цолмон гаргасан.	Хамаг @@ийн хачин нь 27 @@ны өдөр нь намайг ажил @@аас чөлөө @@лөх @@сөн тушаах @@л @@ыг Батлах @@н хамгаалах @@ын сайд асан Ц . Цолмон гарах @@гах @@сан .
Зурагтаар өөрийн дуртай багийнхаа тэмцээнийг үзэж байхдаа дүрс хурдан дамжуулалтын алдаанаас болж, нарийн чухал хэсгийг үзэж чаддаггүй.	Зурах @@гт @@аар өөр @@ийн дур @@тай баг @@ийн @@аа тэмцэх @@ээн @@ийг үзэх @@ж байх @@даа дүрс хурд @@н дамжих @@уулах @@лт @@ын алдах @@аа @@аас болох @@ж, нарийн чухал хэсэг @@ийг үзэх @@ж чадах @@даг @@гүй .
Хуралдааныг ОХУ-ын Засгийн газрын дарга Д.А.Медведев даргалсан бөгөөд Ө.Энхтүвшин түүнтэй ажил хэрэгч яриа өрнүүлжээ.	Хурал @@дах @@аан @@ыг ОХУ @@ын Засах @@г @@ийн газар @@ын дарга Д . А . Медведев дарга @@лах @@сан бөгөөд Ө . Энхтүвшин түүн @@тэй ажил хэрэг @@ч ярих @@аа өрнөх @@үүлэх @@жээ .
Сайн сургууль, чадварлаг багш хоёр салшгүй холбоотой.	Сайн сурах @@гах @@ууль, чадах @@вар @@лаг багш хоёр салах @@шгүй холбох @@оо @@той .
Тиймээс энэ бүс нутагт отор хийх нь малын гоц халдварт өвчний гаралтыг эрс нэмэгдүүлэх магадлалтай .	Тийм @@ээс энэ бүс нутаг @@т отор хийх нь мал @@ын гоц халдах @@вар @@т өвчин @@ий гарах @@лт @@ыг эрс нэмэх @@гдэх @@үүлэх магад @@лах @@л @@тай .
Тэгэхээр энэ үзэсгэлэнгийн гол сүнс нь эрвээхий юм.	Тэгэх @@ээр энэ үзэх @@сгэлэн @@ийн гол сүнс нь эрвээхий юм .
Гэтэл ийм юм байх ёстой юм шиг байна.	Гэтэл ийм юм байх ёс @@той юм шиг байх @@на .
Бүгд хар ажилчин болбол гурван сая монголчууд яаж ч хичээгээд дэлхийг хангаж чадахгүй.	Бүгд хар ажил @@чин болох @@бол гурав @@н сая монгол @@чууд яаж ч хичээх @@ээд дэлхий @@г хангах @@ж чадах @@гүй .
Энэ талаас нь үзвэл Марксын тодорхойлсон социалист нийгэмд шилжин орох болзлоо биелүүлсэн туйлдаа хүрсэн капиталист орон юм.	Энэ тал @@аас нь үзэх @@вэл Маркс @@ын тод @@рох @@ой @@лох @@сон социалист нийгэм @@д шилжих @@н орох болзох @@л @@оо бие @@лэх @@үүлэх @@сэн туйл @@аа хүрсэн капиталист орон юм .
Гэхдээ дөрөв, таван жилийн өмнөөс цагдаа больё гэж бодож эхэлсэн.	Гэх @@дээ дөрөв , тав @@н жил @@ийн өмнө @@өөс цагдах @@аа болох @@ё гэх @@ж бодох @@ж эхлэх @@сэн .
Дулааны шугам засварын ажилтай холбогдуулан хоёр газарт замын хөдөлгөөнийг түр хаахаар болжээ.	Дулаан @@ы шугам засах @@вар @@ын ажил @@тай холбох @@гдох @@уулах @@н хоёр газар @@т зам @@ын хөдлөх @@гөөн @@ийг түр хаах @@аар болох @@жээ .
Ү^ээр дамжуулан залуу үеийнхэндээ Их хаанаа хүндлэх, ёс заншлыг уламжлуулан, цаашид хадгалуулаар үлгэрлэж байгаа юм.	Ү @@ээр дамжих @@уулах @@н залуу үе @@ийн @@хэн @@дээ Их хаан @@аа хүндлэх, ёс заншил @@ыг уламжлах @@уулах @@н, цааш @@д хадгалах @@уулах @@аар үлгэр @@лэх @@ж байх @@гаа юм .
Жишээ нь, таны хугацаа хэтэрсэн зээл төлөгдөөд зургаан жил болчихвол банкууд энэхүү сөрөг мэдээллийг харж чадахгүй.	Жиших @@ээ нь , та @@ы хугацаа хэтрэх @@сэн зээл төлөх @@гдөх @@өөд зургаа @@н жил болох @@чих @@вол банк @@ууд энэ @@хүү сөрөг мэдэх @@ээ лэх @@л @@ийг харах @@ж чадах @@гүй .
Гэхдээ тус зөвлөл олонхын шийдвэр гаргадаггүй, бүгдээрээ санал нэгтэй байж асуудлыг шийддэг хуультай.	Гэх @@дээ тус зөвлөх @@л олон @@х @@ын шийд @@эх @@вэр гаргах @@даг @@гүй , бүгд @@ээр @@ээ санах @@л нэг @@тэй байх @@ж асуух @@дал @@ыг шийдэх @@дэг хууль @@тай .
Ирактай хил залгаа Туркийн зүүн өмнөд нутагт Курд үндэстэн олноор суудаг.	Ирак @@тай хил залгах @@аа Турк @@ийн зүүн өмнөд нутаг @@т Курд үндэс @@тэн олон @@оор суух @@даг .
Нийслэл Улаанбаатар хотын хувьд харьцангуй залуу хүн амтай юм.	Нийслэл Улаанбаатар хот @@ын хувьд харьцах @@нгуй залуу хүн ам @@тай юм .
