Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Často jsou to firmy , které faxy samy dodávají , a to je pro vás , jako uživatele , nejlepší , protože mají zájem i na dobrém zaškolení obsluhy , vyřídí za vás povinnosti s přihlášením a tak podobně .	Čast @@o js @@ou t @@o firm @@y , kter @@é fax @@y sam @@y do @@d @@á @@v @@aj @@í , a t @@o je pro v @@á @@s , jako u @@ži @@v @@a @@tel @@e , nej @@lep @@š @@í , pro @@t @@o @@že m @@aj @@í zá @@jem i na dobr @@é @@m za @@škol @@en @@í ob @@sluh @@y , vy @@říd @@í za v @@á @@s po @@vin @@n @@ost @@i s při @@hláš @@en @@ím a tak po @@dob @@n @@ě .
Pokud nakupujete u firmy , která sama instalace a servis neprovádí , pak by vám měla doporučit servisní firmu , nejlépe takovou , se kterou pravidelně spolupracuje .	Po @@k @@ud na @@kup @@uj @@e @@te u firm @@y , kter @@á sam @@a in @@stal @@ac @@e a servis ne @@pro @@vád @@í , pak by v @@á @@m m @@ě @@l @@a do @@po @@ruč @@i @@t servis @@n @@í firm @@u , nej @@lép @@e tak @@ov @@ou , s @@e kter @@ou prav @@i @@del @@n @@ě spolu @@prac @@uje .
Rozhodně nekupujte telefonní faksimile od organizace , která na otázky instalace a servisu odpovídá vyhýbavě a chová se , jako by se jí to netýkalo .	Roz @@hod @@n @@ě ne @@kup @@uj @@te tele @@fon @@n @@í fak @@simil @@e od organ @@iz @@ac @@e , kter @@á na o @@táz @@k @@y in @@stal @@ac @@e a servis @@u od @@po @@víd @@á vy @@hýb @@a @@v @@ě a chov @@á s @@e , jako by s @@e j @@í t @@o ne @@týk @@a @@l @@o .
Josef Šulc	Josef Šulc
Co můžete požadovat od dobrého přístroje pro telefonní faksimile ?	C @@o můž @@e @@te po @@žad @@ova @@t od dobr @@é @@ho pří @@stroj @@e pro tele @@fon @@n @@í fak @@simil @@e ?
* Přenosovou rychlost přibližně mezi 10 až 34 sekundami pro jednu stránku A 4 normalizovaného dopisu CCITT .	* Pře @@nos @@ov @@ou rychl @@ost při @@bliž @@n @@ě mezi 10 až 34 sekund @@ami pro jedn @@u strán @@k @@u A 4 norm @@al @@iz @@ova @@n @@ého do @@pis @@u CCITT .
* Minimálně dva stupně rozlišení - standard a jemně .	* Minim @@ál @@n @@ě dv @@a stup @@n @@ě roz @@liš @@en @@í - standard a jem @@n @@ě .
* 16 stupňů šedi .	* 16 stup @@ň @@ů šed @@i .
* Řízení kontrastu .	* Říz @@en @@í kontrast @@u .
* Termozáznam na termocitlivý papír v roli o délce nejméně 30 m .	* Term @@o @@zá @@znam na term @@o @@cit @@liv @@ý papír v rol @@i o dél @@c @@e nej @@mén @@ě 30 m .
* Informace o stavu přístroje na displayi , nejméně 16 znaků .	* In @@form @@ac @@e o stav @@u pří @@stroj @@e na dis @@play @@i , nej @@mén @@ě 16 znak @@ů .
* Tisk zprávy o uskutečněném spojení .	* Tisk z @@práv @@y o u @@skuteč @@n @@ěn @@ém s @@poj @@en @@í .
Lépe vybavené , a také dražší faxové přístroje nabízejí	Lép @@e vy @@bav @@en @@é , a také draž @@š @@í fax @@ov @@é pří @@stroj @@e na @@bíz @@ej @@í
* Samoopravný režim ECM ( Error Correction Mode ) .	* Sam @@o @@o @@prav @@n @@ý režim E @@C @@M ( Error Correct @@ion Mode ) .
* 32 až 64 stupňů šedi .	* 32 až 64 stup @@ň @@ů šed @@i .
* Tři stupně rozlišení ( standard , jemně , velmi jemně ) .	* Tř @@i stup @@n @@ě roz @@liš @@en @@í ( standard , jem @@n @@ě , velmi jem @@n @@ě ) .
* Automatické odříznutí přijaté zprávy .	* Auto @@mat @@ic @@k @@é od @@říz @@nu @@t @@í při @@j @@a @@t @@é z @@práv @@y .
* Display s informací o větším počtu znaků než 16 nebo s informací " rolující " .	* Dis @@play s in @@form @@ac @@í o vět @@š @@ím po @@čt @@u znak @@ů než 16 nebo s in @@form @@ac @@í " rol @@uj @@íc @@í " .
* Automatický tisk hlavičky s volaným a volajícím číslem , dobou spojení apod .	* Auto @@mat @@ick @@ý tisk hlav @@ičk @@y s vol @@a @@n @@ým a vol @@aj @@íc @@ím čísl @@e @@m , dob @@ou s @@poj @@en @@í a @@pod .
* Tisk přehledu o provedených spojeních po určitém počtu spojení , za určitý čas , nebo na požádání .	* Tisk pře @@hled @@u o pro @@ved @@en @@ých s @@poj @@en @@ích po urč @@it @@é @@m po @@čt @@u s @@poj @@en @@í , za u @@rč @@i @@t @@ý čas , nebo na po @@žád @@á @@n @@í .
* Možnost odloženého vysílání .	* Mož @@n @@ost od @@lož @@en @@ého vy @@síl @@á @@n @@í .
* Paměť minimálně na 10 normalizovaných stránek A 4 .	* Paměť minim @@ál @@n @@ě na 10 norm @@al @@iz @@ova @@n @@ých strán @@ek A 4 .
* Možnost zkrácené volby aspoň osmi čísel jedním tlačítkem _ a 16 i více čísel dvěma tlačítky .	* Mož @@n @@ost z @@krác @@en @@é vol @@b @@y aspoň osm @@i čís @@el jedn @@í @@m tlač @@í @@tk @@em _ a 16 i více čís @@el dv @@ěma tlač @@í @@tk @@y .
* Automatické opakování volby posledního voleného čísla .	* Auto @@mat @@ic @@k @@é opakování vol @@b @@y po @@sled @@n @@í @@ho vol @@en @@ého čísl @@a .
* Možnost automatického vyzvednutí zprávy z jiného faxu vybaveného příslušnou funkcí .	* Mož @@n @@ost auto @@mat @@ic @@k @@ého vy @@z @@ved @@nu @@t @@í z @@práv @@y z jin @@é @@ho fax @@u vy @@bav @@en @@ého pří @@sluš @@n @@ou funkc @@í .
( POLLING ) .	( POLL @@ING ) .
* Možnost rozeslání zprávy na více adresátů bez opakovaného čtení předlohy .	* Mož @@n @@ost roze @@sl @@á @@n @@í z @@práv @@y na více adres @@át @@ů bez o @@pak @@ova @@n @@ého čt @@en @@í před @@loh @@y .
Kombinace telefon - fax by navíc měly zajišťovat	Kombin @@ac @@e telefon - fax by na @@víc m @@ě @@l @@y za @@jišť @@ova @@t
* Automatické přepnutí do režimu faximile nebo telefon podle druhu příchozího volání .	* Auto @@mat @@ic @@k @@é pře @@p @@nu @@t @@í do režim @@u faximil @@e nebo telefon po @@dle druh @@u pří @@choz @@ího vol @@á @@n @@í .
* Možnost připojení telefonního záznamníku .	* Mož @@n @@ost při @@poj @@en @@í tele @@fon @@n @@í @@ho zá @@znam @@ník @@u .
Vysvětlivky k popisům .	Vy @@svět @@l @@i @@vk @@y k po @@pis @@ům .
* Ceny byly zjišťovány u obchodních zastoupení jednotlivých firem .	* Cen @@y by @@l @@y z @@jišť @@ová @@n @@y u ob @@chod @@n @@ích za @@stoup @@en @@í jedn @@ot @@l @@iv @@ý @@ch firem .
* Běžný způsob tisku většiny faxových přístrojů , tj . tepelný záznam na teplocitlivém papíře , jsme v našich popisech označili zkratkou TZ .	* Běž @@n @@ý z @@pů @@sob tisk @@u vět @@š @@in @@y fax @@ov @@ých pří @@stroj @@ů , t @@j . tep @@el @@n @@ý zá @@znam na tep @@l @@o @@cit @@liv @@ém papíř @@e , js @@me v n @@a @@š @@i @@ch po @@pis @@ech o @@znač @@i @@l @@i z @@krat @@k @@ou T @@Z .
* V popisech uvádíme kapacitu pamětí v počtu stránek .	* V po @@pis @@ech u @@vád @@í @@me kapacit @@u pamět @@í v po @@čt @@u strán @@ek .
Jde opět o normalizované stránky A 4 CCITT .	Jd @@e o @@pět o norm @@al @@iz @@ova @@n @@é strán @@k @@y A 4 CCITT .
Bankroty :	Bank @@rot @@y :
Stav mírně setrvalý	Stav mírn @@ě se @@trv @@a @@l @@ý
U soudů zatím podáno kolem jednoho tisíce návrhů na konkurz	U soud @@ů za @@t @@ím po @@d @@á @@n @@o kol @@em jedn @@o @@ho tisíc @@e ná @@vrh @@ů na konkurz
Koncem dubna 1993 byla přijata novela o bankrotech , která měla - podle názoru nejen předkladatelů , ale i široké odborné i laické veřejnosti - vyvolat dominový efekt krachu podniků , které si vzájemně neplatí .	Konc @@em dubn @@a 1993 by @@l @@a při @@j @@a @@t @@a novel @@a o bankrot @@ech , kter @@á m @@ě @@l @@a - po @@dle ná @@zor @@u ne @@jen před @@klad @@a @@tel @@ů , ale i šir @@ok @@é od @@bor @@n @@é i laic @@k @@é veřej @@n @@ost @@i - vy @@vol @@a @@t domin @@ov @@ý efekt krach @@u pod @@nik @@ů , kter @@é s @@i v @@zá @@jem @@n @@ě ne @@plat @@í .
Zatím však k němu nedošlo a zřejmě v dohledné době ani nedojde .	Za @@t @@ím však k n @@ě @@mu ne @@do @@š @@l @@o a zř @@ejm @@ě v do @@hled @@n @@é dob @@ě ani ne @@do @@jd @@e .
Kazimír Jánoška	Kaz @@i @@mír Jánoš @@k @@a
Takový je totiž závěr porady ekonomických ministrů vlády ČR z předminulého a minulého týdne , na níž se zmíněná problematika projednávala .	Tak @@ov @@ý je totiž zá @@věr po @@rad @@y eko @@nom @@ick @@ých ministr @@ů vlád @@y Č @@R z před @@mi @@nu @@l @@ého a mi @@nu @@l @@ého týdn @@e , na níž s @@e z @@mín @@ěn @@á problem @@at @@ik @@a pro @@jedn @@á @@v @@a @@l @@a .
Jak konstatoval premiér Václav Klaus , vláda nevidí žádné důvody k umělému urychlování či zpomalování bankrotů .	Jak konstat @@ova @@l prem @@iér Václav Klaus , vlád @@a ne @@vid @@í žád @@n @@é dů @@vod @@y k um @@ě @@l @@ému u @@rychl @@ová @@n @@í či z @@pomal @@ová @@n @@í bank @@rot @@ů .
Jde o subjektivní rozhodnutí věřitele , a je proto logický postoj bank , které zvažují , zda se jim bankrot vyplatí nebo ne .	Jd @@e o sub @@jekt @@iv @@n @@í roz @@hod @@nu @@t @@í věř @@i @@tel @@e , a je pro @@t @@o log @@ic @@k @@ý po @@stoj bank , kter @@é z @@važ @@uj @@í , zda s @@e j @@i @@m bank @@rot vy @@plat @@í nebo ne .
Každopádně velkým zjednodušením je teze " čím víc bankrotů , tím lépe " .	Každ @@o @@pád @@n @@ě vel @@k @@ý @@m z @@jedn @@o @@duš @@en @@ím je tez @@e " č @@í @@m víc bank @@rot @@ů , t @@ím lép @@e " .
Bankrot není cílem této fáze transformace české ekonomiky .	Bank @@rot není cíl @@e @@m t @@é @@to fáz @@e trans @@form @@ac @@e čes @@k @@é eko @@nom @@ik @@y .
Cílem je restrukturalizace ekonomiky a ta má obrovské množství forem - bankrot je však formou extrémní .	Cíl @@e @@m je re @@strukt @@ur @@al @@iz @@ac @@e eko @@nom @@ik @@y a t @@a m @@á obr @@ovsk @@é množství forem - bank @@rot je však form @@ou extrémní .
10 - 15 měsíčně	10 - 15 měsíč @@n @@ě
Podařilo se nám získat informaci o celkovém počtu dlužníků , na něž hodlají věřitelé uvalit " konkurzní žalobu " prostřednictvím soudů .	Po @@dař @@i @@l @@o s @@e n @@á @@m získ @@a @@t in @@form @@ac @@i o celk @@ov @@ém po @@čt @@u dluž @@n @@ík @@ů , na n @@ě @@ž hodl @@aj @@í věř @@i @@tel @@é u @@val @@i @@t " konkurz @@n @@í žal @@ob @@u " pro @@střed @@nic @@tv @@ím soud @@ů .
Podle ministra hospodářství ČR Karla Dyby je v současné době soudně zaregistrováno kolem jednoho tisíce návrhů na konkurz .	Po @@dle ministr @@a hospod @@ář @@ství Č @@R Karl @@a Dyby je v sou @@čas @@n @@é dob @@ě soud @@n @@ě za @@registr @@ová @@n @@o kol @@em jedn @@o @@ho tisíc @@e ná @@vrh @@ů na konkurz .
Rychlost jejich vyřizování je však dána kapacitními možnostmi soudů .	Rychl @@ost je @@j @@i @@ch vy @@řiz @@ová @@n @@í je však d @@á @@n @@a kapacit @@n @@ími mož @@n @@ost @@m @@i soud @@ů .
A ty jsou - jak známo - malé , což znamená , že soudy projednají do měsíce přibližně 10 - 15 podání věřitelů na konkurz .	A t @@y js @@ou - jak zn @@á @@m @@o - mal @@é , c @@o @@ž znam @@en @@á , že soud @@y pro @@jedn @@aj @@í do měsíc @@e při @@bliž @@n @@ě 10 - 15 po @@d @@á @@n @@í věř @@i @@tel @@ů na konkurz .
Zbývá jen dodat , že proti 30 . červnu 1993 , kdy na soudech " leželo " zhruba 700 návrhů , představuje zmíněných asi tisíc podání nárůst přibližně o 40 procent .	Z @@bý @@v @@á jen do @@d @@a @@t , že proti 30 . červn @@u 1993 , kdy na soud @@ech " lež @@e @@l @@o " z @@hrub @@a 700 ná @@vrh @@ů , před @@stav @@uje z @@mín @@ěn @@ých asi tisíc po @@d @@á @@n @@í ná @@růst při @@bliž @@n @@ě o 40 procent .
Co na to MF	C @@o na t @@o M @@F
Na příslušných soudech v Praze , Brně , Ostravě , Plzni a v Českých Budějovicích jsme si ověřili , že prakticky všechny podané návrhy na konkurz se týkají především malých , případně středně velkých soukromých firem .	Na pří @@sluš @@n @@ých soud @@ech v Praz @@e , Brn @@ě , Ostrav @@ě , Plzn @@i a v Čes @@k @@ých Budějovic @@ích js @@me s @@i o @@věř @@i @@l @@i , že prakt @@ic @@k @@y vš @@ech @@n @@y po @@d @@a @@n @@é ná @@vrh @@y na konkurz s @@e týk @@aj @@í přede @@vš @@í @@m mal @@ý @@ch , pří @@pad @@n @@ě střed @@n @@ě vel @@k @@ý @@ch sou @@krom @@ých firem .
A co ty velké ?	A c @@o t @@y vel @@k @@é ?
- Ze zdrojů blízkých ministerstvu hospodářství a Svazu průmyslu ČR jsme se dověděli , že uzavřely mezi sebou tichou džentlmenskou dohodu vzájemně se navrhovat do bankrotu .	- Ze zdroj @@ů blíz @@k @@ých minister @@stv @@u hospod @@ář @@ství a S @@vaz @@u prů @@mysl @@u Č @@R js @@me s @@e do @@věd @@ě @@l @@i , že u @@za @@vř @@e @@l @@y mezi s @@eb @@ou tich @@ou džentl @@men @@sk @@ou do @@hod @@u v @@zá @@jem @@n @@ě s @@e na @@vrh @@ova @@t do bank @@rot @@u .
Bez zajímavosti není stanovisko ministra financí Ivana Kočárníka , který za hlavního možného iniciátora bankrotů považuje banky .	Bez za @@jím @@a @@v @@ost @@i není stan @@ov @@isk @@o ministr @@a financ @@í Ivan @@a Kočár @@ník @@a , kter @@ý za hlav @@n @@ího možn @@ého inici @@át @@or @@a bank @@rot @@ů po @@važ @@uje bank @@y .
Ony jsou totiž největšími věřiteli a záleží na nich , jak využijí možností daných zákonem .	On @@y js @@ou totiž nej @@vět @@š @@ími věř @@i @@tel @@i a zá @@lež @@í na n @@i @@ch , jak vy @@u @@ži @@j @@í mož @@n @@ost @@í d @@a @@n @@ých zá @@kon @@e @@m .
Jejich zdrženlivost při iniciování konkurzů vláda již nejednou kritizovala .	Je @@j @@i @@ch z @@drž @@e @@nliv @@ost při inici @@ová @@n @@í konkurz @@ů vlád @@a již ne @@jedn @@ou krit @@iz @@ova @@l @@a .
Výsledkem je , že bankovní sféra začíná přehodnocovat svůj dosavadní postoj a zřejmě začne důrazněji postupovat proti svým největším dlužníkům .	Vý @@sled @@k @@e @@m je , že bank @@ovn @@í sfér @@a za @@č @@í @@n @@á pře @@hod @@n @@oc @@ova @@t sv @@ůj do @@s @@av @@ad @@n @@í po @@stoj a zř @@ejm @@ě za @@č @@ne dů @@raz @@n @@ěj @@i po @@stup @@ova @@t proti s @@v @@ý @@m nej @@vět @@š @@ím dluž @@n @@ík @@ům .
Slova ministra financí nám potvrdily tři bankovní domy - Komerční banka , Investiční banka a Česká spořitelna .	Slov @@a ministr @@a financ @@í n @@á @@m po @@tvrd @@i @@l @@y tř @@i bank @@ovn @@í dom @@y - Komerč @@n @@í bank @@a , In @@vest @@ič @@n @@í bank @@a a Čes @@k @@á s @@poř @@i @@teln @@a .
Jejich ústředí momentálně posuzují finanční situaci rozhodujících velkých rizikových klientů .	Je @@j @@i @@ch ú @@střed @@í moment @@áln @@ě po @@suz @@uj @@í finanč @@n @@í situ @@ac @@i roz @@hod @@uj @@íc @@ích vel @@k @@ý @@ch rizik @@ov @@ých klient @@ů .
Je však těžké říci , zda se třeba už za čtrnáct dnů či za tři čtyři měsíce dovíme senzační zprávu o tom , že ten či jiný velký podnik " zásluhou " příslušné banky zbankrotoval .	Je však těž @@k @@é říc @@i , zda s @@e třeb @@a už za čtr @@náct dn @@ů či za tř @@i čtyř @@i měsíc @@e do @@v @@í @@me senzač @@n @@í z @@práv @@u o t @@o @@m , že t @@en či jin @@ý vel @@k @@ý pod @@nik " zá @@sluh @@ou " pří @@sluš @@n @@é bank @@y z @@bank @@rot @@ova @@l .
Postoj bank	Po @@stoj bank
Jádro problému " bankroty , anebo nikoliv " je totiž z pohledu bank viděno naprosto odlišně , než z pohledu politiků , národohospodářů či laické veřejnosti :	Jádr @@o problém @@u " bank @@rot @@y , a @@nebo ni @@koliv " je totiž z po @@hled @@u bank vid @@ě @@n @@o na @@prost @@o od @@liš @@n @@ě , než z po @@hled @@u polit @@ik @@ů , ná @@rod @@o @@hospod @@ář @@ů či laic @@k @@é veřej @@n @@ost @@i :
Dokud klient platí třeba ne splátky , ale aspoň úroky z půjčené částky , není důvod , aby byl bankou navržen do konkursu .	Do @@k @@ud klient plat @@í třeb @@a ne s @@plát @@k @@y , ale aspoň ú @@rok @@y z půjč @@en @@é část @@k @@y , není dů @@vod , aby by @@l bank @@ou na @@vrž @@en do konkurs @@u .
A to už nemluvě o faktu , že i v případě podniků , které neplatí ani splátky , ani úroky z nich , se banka rozhodne pro vyhlášení konkurzu většinou jen v případě , že má záruky , které lze v konkurzu zpeněžit ( například nemovitost , technologii a podobně ) .	A t @@o už ne @@mluv @@ě o fakt @@u , že i v pří @@pad @@ě pod @@nik @@ů , kter @@é ne @@plat @@í ani s @@plát @@k @@y , ani ú @@rok @@y z n @@i @@ch , s @@e bank @@a roz @@hod @@n @@e pro vy @@hláš @@en @@í konkurz @@u vět @@š @@in @@ou jen v pří @@pad @@ě , že m @@á zá @@ruk @@y , kter @@é lze v konkurz @@u z @@peněž @@i @@t ( na @@pří @@klad ne @@movit @@ost , techn @@o @@log @@i @@i a po @@dob @@n @@ě ) .
Pohlédnem - li pak na celou problematiku z tohoto úhlu , je zřejmé , že dominový efekt bankrotů skutečně nehrozí .	Po @@hléd @@n @@e @@m - li pak na cel @@ou problem @@at @@ik @@u z t @@o @@ho @@t @@o úhl @@u , je zř @@ej @@m @@é , že domin @@ov @@ý efekt bank @@rot @@ů skuteč @@n @@ě ne @@hroz @@í .
Zákon ho sice umožňuje , ale logika samotné praxe je jiná .	Zá @@kon ho sice u @@mož @@ň @@uje , ale log @@ik @@a sam @@ot @@n @@é prax @@e je jin @@á .
Aktuálně	Akt @@uál @@n @@ě
Černá bankovní středa	Čern @@á bank @@ovn @@í střed @@a
Představa , že banky jako instituce podnikající v oblasti peněz a finančnictví nemohou z tohoto důvodu zbankrotovat , je naprosto iluzorní .	Před @@stav @@a , že bank @@y jako in @@stitu @@c @@e pod @@nik @@aj @@íc @@í v ob @@last @@i peněz a finanč @@n @@ic @@tv @@í ne @@moh @@ou z t @@o @@ho @@t @@o dů @@vod @@u z @@bank @@rot @@ova @@t , je na @@prost @@o iluz @@orn @@í .
Ani ony totiž nejsou ničím jiným , než pouhým podnikatelským subjektem , který v tvrdé konkurenci dalších bank buď uspěje , nebo zkrachuje .	Ani on @@y totiž ne @@js @@ou nič @@ím jin @@ý @@m , než pouh @@ý @@m pod @@nik @@a @@tel @@sk @@ým sub @@jekt @@e @@m , kter @@ý v tvrd @@é konkur @@enc @@i dal @@š @@í @@ch bank buď u @@spě @@je , nebo z @@krach @@uje .
Kazimír Jánoška	Kaz @@i @@mír Jánoš @@k @@a
Tuto skutečnost jednoznačně potvrdila středa 2 . února , kdy Česká národní banka oznámila , že u krajského obchodního soudu v Praze podala návrh na konkurz Kreditní a průmyslové banky , na niž v září loňského roku uvalila nucenou státní správu .	T @@u @@t @@o skuteč @@n @@ost jedn @@o @@znač @@n @@ě po @@tvrd @@i @@l @@a střed @@a 2 . ú @@nor @@a , kdy Čes @@k @@á ná @@rod @@n @@í bank @@a o @@znám @@i @@l @@a , že u kraj @@sk @@ého ob @@chod @@n @@ího soud @@u v Praz @@e po @@d @@a @@l @@a ná @@vrh na konkurz Kredit @@n @@í a prů @@mysl @@ov @@é bank @@y , na n @@i @@ž v zář @@í loň @@sk @@ého rok @@u u @@val @@i @@l @@a nuc @@en @@ou stát @@n @@í s @@práv @@u .
Tento krok tehdy zdůvodnil mluvčí ČNB Martin Švehla slovy , že vývoj bankovního hospodaření KPB v posledních měsících neodpovídal požadavkům obezřetného podnikání .	T @@en @@t @@o krok tehd @@y z @@dů @@vod @@n @@i @@l mluv @@č @@í Č @@N @@B Martin Švehl @@a slov @@y , že vý @@voj bank @@ovn @@ího hospod @@ař @@en @@í K @@P @@B v po @@sled @@n @@í @@ch měsíc @@ích ne @@od @@po @@víd @@a @@l po @@žad @@a @@v @@k @@ů @@m obe @@zř @@e @@t @@n @@ého pod @@nik @@á @@n @@í .
