abbé	abb @@é
burcující	burc @@uj @@íc @@í
burdettův	burdett @@ův
burger	burger
burza	burz @@a
burze	burz @@e
burziánů	burz @@i @@án @@ů
burzy	burz @@y
burácel	bur @@ác @@e @@l
burácí	bur @@ác @@í
business	business
butera	buter @@a
buttula	buttul @@a
bučet	buč @@e @@t
bučí	buč @@í
buď	buď
buďte	buď @@te
buďto	buď @@to
buňka	buňk @@a
buřince	buř @@in @@c @@e
buřtu	buřt @@u
bušit	buš @@i @@t
by	by
bychom	by @@chom
bydlel	bydl @@e @@l
bydlet	bydl @@e @@t
bydlit	bydl @@i @@t
bydlí	bydl @@í
bydlím	bydl @@í @@m
bydlíme	bydl @@í @@m @@e
bydlíte	bydl @@í @@te
byl	by @@l
byla	by @@l @@a
byli	by @@l @@i
bylo	by @@l @@o
byly	by @@l @@y
bys	by @@s
bystričanka	bystr @@ič @@an @@k @@a
bystře	bystř @@e
bystřit	bystř @@i @@t
byt	by @@t
bytné	by @@t @@n @@é
bytosti	by @@t @@ost @@i
bytostí	by @@t @@ost @@í
bytovému	by @@t @@ov @@ému
bytový	by @@t @@ov @@ý
byty	by @@t @@y
bytí	by @@t @@í
bytím	by @@t @@í @@m
bytě	by @@t @@ě
bytů	byt @@ů
byť	byť
bzikat	bzik @@a @@t
bzučení	bzuč @@e @@n @@í
bzučet	bzuč @@e @@t
bábou	báb @@ou
bábu	báb @@u
báby	báb @@y
bábě	báb @@ě
bácnout	bác @@nou @@t
bádat	bád @@a @@t
bádání	bád @@á @@n @@í
báječná	báj @@eč @@n @@á
bájit	báj @@i @@t
bál	bál
bále	bál @@e
bálové	bál @@ov @@é
bánit	bán @@i @@t
báseň	báseň
básnit	básn @@i @@t
básní	básn @@í
básník	básn @@ík
básně	básn @@ě
bát	bá @@t
bázeň	bá @@zeň
bázlivostí	bá @@z @@l @@iv @@ost @@í
bázlivá	bá @@z @@l @@iv @@á
bázlivě	bá @@z @@l @@iv @@ě
bázlivět	bá @@z @@l @@iv @@ě @@t
bázni	bá @@zn @@i
bázní	bá @@zn @@í
bázně	bá @@zn @@ě
báťuška	báťušk @@a
báťuško	báťušk @@o
béé	béé
bída	bíd @@a
bídnou	bíd @@n @@ou
bídné	bíd @@n @@é
bídníku	bíd @@n @@ík @@u
bídný	bíd @@n @@ý
bídně	bíd @@n @@ě
bídy	bíd @@y
bídák	bíd @@ák
bídáku	bíd @@ák @@u
bílit	bíl @@i @@t
bílou	bíl @@ou
bílá	bíl @@á
bílé	bíl @@é
bílý	bíl @@ý
bílých	bíl @@ých
bílými	bíl @@ými
bít	bí @@t
být	bý @@t
býti	bý @@ti
býval	bý @@v @@a @@l
bývala	bý @@v @@a @@l @@a
bývalo	bý @@v @@a @@l @@o
bývalé	bý @@v @@a @@l @@é
bývat	bý @@v @@a @@t
běda	běd @@a
bědoval	běd @@ova @@l
bědovat	běd @@ova @@t
běh	běh
běhaje	běh @@aj @@e
běhají	běh @@aj @@í
běhali	běh @@a @@l @@i
běhat	běh @@a @@t
během	běh @@em
běhá	běh @@á
běla	běl @@a
bělat	běl @@a @@t
bělecký	běleck @@ý
bělet	běl @@e @@t
bělit	běl @@i @@t
běloch	běl @@och
bělocha	běl @@och @@a
bělostným	běl @@ost @@n @@ým
bělostí	běl @@ost @@í
bělovlasé	běl @@o @@vlas @@é
běláskové	běl @@ás @@k @@ové
běsnit	běs @@n @@i @@t
běžel	běž @@e @@l
běžela	běž @@e @@l @@a
běželi	běž @@e @@l @@i
běželo	běž @@e @@l @@o
běžet	běž @@e @@t
běžné	běž @@n @@é
běžném	běž @@n @@ém
běžný	běž @@n @@ý
běžných	běž @@n @@ých
běžným	běž @@n @@ým
běžně	běž @@ně
běžte	běž @@te
běžím	běž @@í @@m
břeh	břeh
břehové	břeh @@ov @@é
břehový	břeh @@ov @@ý
března	březn @@a
březnový	březn @@ov @@ý
březový	břez @@ov @@ý
břežský	břež @@sk @@ý
břinkat	břink @@a @@t
břinkačka	břink @@a @@čk @@a
břišní	břiš @@n @@í
břišním	břiš @@n @@ím
břídit	bříd @@i @@t
bříze	bříz @@e
břízy	bříz @@y
bříšek	bříš @@ek
bříškem	bříš @@k @@em
bříško	bříš @@k @@o
bů	bů
bůh	bůh
bůhvíco	bůh @@v @@í @@c @@o
bůhvíjaká	bůh @@v @@í @@jak @@á
bůhvíkde	bůh @@v @@í @@kd @@e
bůů	bůů
bžunknout	bžunk @@nou @@t
cachtat	cacht @@a @@t
caen	caen
caespitosum	caespitosum
camrat	camr @@a @@t
canon	canon
capat	cap @@a @@t
cash	cash
castrogiovanni	castrogiovanni
casus	cas @@us
casy	cas @@y
cauda	caud @@a
cařihradě	cař @@i @@hrad @@ě
ccitt	ccitt
cedit	ced @@i @@t
cedovat	ced @@ova @@t
cedrového	cedr @@ov @@ého
cejchovat	cejch @@ova @@t
ceknout	cek @@nou @@t
cela	cel @@a
cele	cel @@e
celebrovat	celebr @@ova @@t
celkovém	celk @@ov @@ém
celkový	celk @@ov @@ý
celní	cel @@n @@í
celohliníkový	cel @@o @@hlin @@ík @@ov @@ý
celost	cel @@ost
celou	cel @@ou
celovat	cel @@ova @@t
cely	cel @@y
celá	cel @@á
celé	cel @@é
celého	cel @@ého
celém	cel @@ém
celí	cel @@í
celý	cel @@ý
celých	cel @@ých
celým	cel @@ým
cement	cement
cementovat	cement @@ova @@t
cementu	cement @@u
cen	cen
cena	cen @@a
cenili	cen @@i @@l @@i
cenit	cen @@i @@t
cennou	cen @@n @@ou
cenné	cen @@n @@é
cenného	cen @@n @@ého
cenný	cen @@n @@ý
cenných	cen @@n @@ých
cenovou	cen @@ov @@ou
cenové	cen @@ov @@é
cenových	cen @@ov @@ých
cent	cent
center	center
centimetr	centi @@metr
centimetrů	centi @@metr @@ů
centr	centr
centralizovat	centr @@al @@iz @@ova @@t
centrifugovávatelně	centr @@i @@fug @@ová @@v @@a @@teln @@ě
centro	centr @@o
centrolecitální	centr @@o @@lecit @@ál @@n @@í
centrovat	centr @@ova @@t
centrum	centr @@um
centy	cent @@y
cenu	cen @@u
ceny	cen @@y
cenách	cen @@ách
ceníku	cen @@ík @@u
ceníme	cen @@í @@me
ceníte	cen @@í @@te
ceně	cen @@ě
ceněná	cen @@ěn @@á
cepenět	cepen @@ě @@t
cephalocereus	cephalocereus
cepovat	cep @@ova @@t
ceramitec	ceramitec
cerealia	cerealia
certifikace	certi @@fik @@ac @@e
cest	cest
cesta	cest @@a
cestička	cest @@ičk @@a
cestičkami	cest @@ič @@k @@ami
cestoval	cest @@ova @@l
cestovat	cest @@ova @@t
cestovatel	cest @@ova @@tel
cestovateli	cest @@ova @@tel @@i
cestovního	cest @@ov @@n @@ího
cestu	cest @@u
cestuji	cest @@uj @@i
cestují	cest @@uj @@í
cestující	cest @@uj @@íc @@í
cestujících	cest @@uj @@íc @@ích
cestě	cest @@ě
chabnout	chab @@nou @@t
chabosti	chab @@ost @@i
chabrusácký	chabrus @@ác @@k @@ý
chalcedon	chalcedon
chalupě	chalup @@ě
chamtit	chamt @@i @@t
chaotický	chaot @@ic @@k @@ý
chapadlo	chap @@a @@dl @@o
chapadly	chap @@a @@dl @@y
charakterizaci	charakter @@iz @@ac @@i
charakterizovat	charakter @@iz @@ova @@t
charakterizuje	charakter @@iz @@uje
charakteru	charakter @@u
charentonskost	charenton @@sk @@ost
charkov	charkov
charles	charles
chaso	chas @@o
chatrný	chatr @@n @@ý
chatrnější	chatr @@n @@ěj @@š @@í
chceme	chc @@e @@me
chcípat	chcíp @@a @@t
chcíplá	chcíp @@l @@á
chcípnout	chcíp @@nou @@t
cheb	cheb
chebský	cheb @@sk @@ý
chebu	cheb @@u
chechtat	checht @@a @@t
chemik	chem @@ik
cherimoli	cherimoli
chevalirův	chevalir @@ův
chile	chile
chirurgické	chirurg @@i @@ck @@é
chirurgie	chirurg @@ie
chladili	chlad @@i @@l @@i
chladno	chlad @@n @@o
chladnokrevně	chlad @@n @@o @@krev @@n @@ě
chladnout	chlad @@nou @@t
chladné	chlad @@n @@é
chladných	chlad @@n @@ých
chladněji	chlad @@n @@ěj @@i
chlamstat	chlamst @@a @@t
chlamstnout	chlamst @@nou @@t
chlap	chlap
chlapa	chlap @@a
chlapce	chlap @@c @@e
chlape	chlap @@e
chlapec	chlap @@ec
chlapeček	chlap @@eč @@ek
chlapečka	chlap @@eč @@k @@a
chlapi	chlap @@i
chlapisko	chlap @@isk @@o
chlapovi	chlap @@ovi
chlapík	chlap @@ík
chlapů	chlap @@ů
chlastají	chlast @@aj @@í
chlastat	chlast @@a @@t
chleba	chleb @@a
chlubil	chlub @@i @@l
chlubit	chlub @@i @@t
chlubí	chlub @@í
chlup	chlup
chlupatět	chlup @@at @@ě @@t
chlupy	chlup @@y
chlupáči	chlup @@áč @@i
chlácholil	chláchol @@i @@l
chlácholit	chláchol @@i @@t
chlácholivého	chláchol @@i @@v @@ého
chlácholivě	chláchol @@iv @@ě
chlápka	chláp @@k @@a
chlívce	chlív @@c @@e
chmatat	chmat @@a @@t
chmelařit	chmel @@ař @@i @@t
chmelit	chmel @@i @@t
chmuřit	chmuř @@i @@t
chmátnout	chmát @@nou @@t
chodba	chod @@b @@a
chodbou	chod @@b @@ou
chodbě	chod @@b @@ě
chodidlo	chod @@i @@dl @@o
chodil	chod @@i @@l
chodila	chod @@i @@l @@a
chodili	chod @@i @@l @@i
chodilo	chod @@i @@l @@o
chodily	chod @@i @@l @@y
chodit	chod @@i @@t
chodník	chod @@n @@ík
chodníku	chod @@n @@ík @@u
chodníkům	chod @@ník @@ům
chodí	chod @@í
chodíš	chod @@í @@š
chomoutu	chomout @@u
chopiti	chop @@i @@ti
chopíme	chop @@í @@me
choreografka	choreo @@graf @@k @@a
chorobných	chor @@ob @@n @@ých
chorobou	chor @@ob @@ou
chorobu	chor @@ob @@u
chotí	chot @@í
choulit	choul @@i @@t
choulostivost	choul @@ost @@iv @@ost
choulostivět	choulost @@iv @@ě @@t
choval	chov @@a @@l
chovanka	chov @@a @@n @@k @@a
chovat	chov @@a @@t
chová	chov @@á
chovány	chov @@á @@n @@y
chování	chov @@á @@n @@í
choť	choť
chramstnout	chramst @@nou @@t
chraptět	chrapt @@ě @@t
chrastit	chrast @@i @@t
chrchlaje	chrchl @@aj @@e
chrchlat	chrchl @@a @@t
chrnět	chrn @@ě @@t
chrochtat	chrocht @@a @@t
chrochtá	chrocht @@á
chromců	chrom @@c @@ů
chromnout	chrom @@nou @@t
chromou	chrom @@ou
chromý	chrom @@ý
chroptět	chropt @@ě @@t
chrounět	chroun @@ě @@t
chrstat	chrst @@a @@t
chrstnout	chrst @@nou @@t
chrudimský	chrudim @@sk @@ý
chrup	chrup
chrupat	chrup @@a @@t
chrupnout	chrup @@nou @@t
chrysler	chrysler
chryslera	chrysler @@a
chrysleru	chrysler @@u
chrám	chrám
chráněn	chrán @@ěn
chráněný	chrán @@ěn @@ý
chrápala	chráp @@a @@l @@a
chrápat	chráp @@a @@t
chrčel	chrč @@e @@l
chrčet	chrč @@e @@t
chtěj	cht @@ě @@j
chtějí	cht @@ěj @@í
chtěla	cht @@ě @@l @@a
chtělo	cht @@ě @@l @@o
chtěnej	cht @@ě @@n @@ej
chtění	cht @@ě @@n @@í
chtěný	cht @@ě @@n @@ý
chudinko	chud @@in @@k @@o
chudnout	chud @@nou @@t
chudobu	chud @@ob @@u
chudobě	chud @@ob @@ě
chudáci	chud @@ác @@i
chudák	chud @@ák
chudáka	chud @@ák @@a
chudákovi	chud @@ák @@ovi
chudáku	chud @@ák @@u
chudáků	chud @@ák @@ů
chudý	chud @@ý
chumelit	chumel @@i @@t
chumlat	chuml @@a @@t
chunchuzové	chun @@chuz @@ové
chundeláči	chundel @@áč @@i
churavosti	chur @@av @@ost @@i
churavět	chur @@av @@ě @@t
churriguerra	churriguerr @@a
chutnala	chut @@n @@a @@l @@a
chutnat	chut @@n @@a @@t
chutná	chut @@n @@á
chutnání	chut @@n @@á @@n @@í
chutí	chut @@í
chuť	chuť
chvalořečit	chval @@o @@řeč @@i @@t
chvilce	chvil @@c @@e
chvilinku	chvil @@in @@k @@u
chvilka	chvil @@k @@a
chvilkové	chvil @@k @@ov @@é
chvilku	chvil @@k @@u
chválen	chvál @@en
chválení	chvál @@en @@í
chválit	chvál @@i @@t
chvástat	chvást @@a @@t
chvátat	chvát @@a @@t
chvátit	chvát @@i @@t
chvíle	chvíl @@e
chvílemi	chvíl @@emi
chvíli	chvíl @@i
chvílí	chvíl @@í
chvílích	chvíl @@ích
chvít	chví @@t
chvěje	chvě @@je
chvěly	chvě @@l @@y
chvěním	chvě @@n @@ím
chvět	chvě @@t
chybit	chyb @@i @@t
chybovat	chyb @@ova @@t
chybu	chyb @@u
chyby	chyb @@y
chybách	chyb @@ách
chybí	chyb @@í
chybějí	chyb @@ěj @@í
chybělo	chyb @@ě @@l @@o
chybět	chyb @@ě @@t
chystat	chyst @@a @@t
chystá	chyst @@á
chytají	chyt @@aj @@í
chytal	chyt @@a @@l
chytat	chyt @@a @@t
chytil	chyt @@i @@l
chytili	chyt @@i @@l @@i
chytit	chyt @@i @@t
chytla	chyt @@l @@a
chytli	chyt @@l @@i
chytne	chyt @@ne
chytnout	chyt @@nou @@t
chytnu	chyt @@n @@u
chytračit	chytr @@ač @@i @@t
chytrá	chytr @@á
chytrák	chytr @@ák
chytrého	chytr @@ého
chytrý	chytr @@ý
chytá	chyt @@á
chytím	chyt @@í @@m
chytře	chytř @@e
chytřejší	chytř @@ejš @@í
chyťte	chyť @@te
chyži	chyž @@i
chátrat	chátr @@a @@t
chýlit	chýl @@i @@t
chýše	chýš @@e
chýší	chýš @@í
chňapat	chňap @@a @@t
chňapnout	chňap @@nou @@t
chřadnout	chřad @@nou @@t
chřastit	chřast @@i @@t
chřestět	chřest @@ě @@t
chřoupat	chřoup @@a @@t
chřupat	chřup @@a @@t
chůva	chův @@a
chůze	chůz @@e
chůzí	chůz @@í
cibule	cibul @@e
cibulec	cibul @@ec
cigaret	cigaret
cigareta	cigaret @@a
cigarety	cigaret @@y
ciglerův	cigler @@ův
cigna	cign @@a
cihel	cihel
cikán	cikán
cikánka	cikán @@k @@a
cikánko	cikán @@k @@o
cikánovat	cikán @@ova @@t
cimrmanovština	cimrman @@ov @@št @@in @@a
cingrlátek	cingrl @@átek
cingrlátko	cingrl @@átk @@o
cinkat	cink @@a @@t
cinká	cink @@á
cirkulovat	cirk @@ul @@ova @@t
cit	cit
citelný	cit @@eln @@ý
citelně	cit @@eln @@ě
citerista	citer @@ist @@a
citlivostí	cit @@l @@iv @@ost @@í
citovaná	cit @@ova @@n @@á
citová	cit @@ov @@á
city	cit @@y
civile	civil @@e
civilizaci	civil @@iz @@ac @@i
civilizovaný	civil @@izova @@n @@ý
civilizovat	civil @@iz @@ova @@t
civilního	civil @@n @@ího
civilu	civil @@u
civět	civ @@ě @@t
cizelovat	cizel @@ova @@t
cizinci	ciz @@inc @@i
cizinec	ciz @@inec
cizokrajného	ciz @@o @@kraj @@n @@ého
cizoložit	ciz @@o @@lož @@i @@t
clo	cl @@o
clonit	clon @@i @@t
clonově	clon @@ov @@ě
cloumat	cloum @@a @@t
clít	cl @@í @@t
cmrndat	cmrnd @@a @@t
cmrndnout	cmrnd @@nou @@t
co	c @@o
coca	coca
cochetovi	cochet @@ovi
cokoliv	c @@o @@koliv
colin	colin
colina	colin @@a
colubrina	colubrin @@a
coly	col @@y
comandante	comandant @@e
congressexpo	con @@gress @@ex @@po
consulto	consulto
conzult	con @@zult
copak	c @@o @@pak
copakže	c @@o @@pak @@že
copatého	cop @@at @@ého
corniger	corniger
corpus	corpus
correction	correct @@ion
cos	c @@o @@s
coul	coul
coulem	coul @@em
courama	cour @@ama
courat	cour @@a @@t
couvat	couv @@a @@t
couvla	couv @@l @@a
což	c @@o @@ž
cože	c @@o @@že
cpát	cp @@á @@t
crnkat	crnk @@a @@t
crčet	crč @@e @@t
cti	ct @@i
ctihodná	ct @@i @@hod @@n @@á
ctihodné	ct @@i @@hod @@n @@é
ctihodnému	ct @@i @@hod @@n @@ému
ctihodní	ct @@i @@hod @@n @@í
ctihodný	ct @@i @@hod @@n @@ý
ctihodnými	ct @@i @@hod @@n @@ými
ctěnou	ct @@ěn @@ou
cucalo	cuc @@a @@l @@o
cucat	cuc @@a @@t
cuchat	cuch @@a @@t
cucnout	cuc @@nou @@t
cucurbita	cucurbit @@a
cucán	cuc @@á @@n
cudností	cud @@n @@ost @@í
cukat	cuk @@a @@t
cukernatět	cuker @@n @@at @@ě @@t
cuknout	cuk @@nou @@t
cukrovat	cukr @@ova @@t
cukrování	cukr @@ová @@n @@í
cukrátko	cukr @@átk @@o
culit	cul @@i @@t
cumel	cumel
cumlat	cuml @@a @@t
cumlíkem	cuml @@ík @@em
cupat	cup @@a @@t
cupitat	cup @@it @@a @@t
cupkat	cup @@k @@a @@t
cupovat	cup @@ova @@t
curych	curych
curychu	curych @@u
curyšské	curyš @@sk @@é
cvakaly	cvak @@a @@l @@y
cvakat	cvak @@a @@t
cvaklo	cvak @@l @@o
cvaknout	cvak @@nou @@t
cvikovat	cvik @@ova @@t
cviku	cvik @@u
cvičení	cvič @@en @@í
cvičením	cvič @@en @@ím
cvičit	cvič @@i @@t
cvrknout	cvrk @@nou @@t
cvrlikat	cvrlik @@a @@t
cvrnkat	cvrnk @@a @@t
cválat	cvál @@a @@t
cyklistka	cykl @@ist @@k @@a
cyklus	cykl @@us
czendův	czend @@ův
cácorka	các @@or @@k @@a
cákat	cák @@a @@t
cáklost	cák @@l @@ost
cáknout	cák @@nou @@t
cápnout	cáp @@nou @@t
cárat	cár @@a @@t
cé	cé
cédávanost	cé @@dá @@v @@a @@n @@ost
cévkovat	cév @@k @@ova @@t
cídit	cíd @@i @@t
cíl	cíl
cíle	cíl @@e
cílem	cíl @@em
cílevědomější	cíl @@e @@věd @@om @@ějš @@í
cíli	cíl @@i
cílit	cíl @@i @@t
cílové	cíl @@ov @@é
cílů	cíl @@ů
cílům	cíl @@ům
cínovat	cín @@ova @@t
cíp	cíp
církevní	církev @@ní
císař	císař
cítil	cít @@i @@l
cítit	cít @@i @@t
cítitelný	cít @@i @@teln @@ý
cítíme	cít @@í @@me
cívka	cív @@k @@a
cívkovitě	cív @@kovitě
dabovat	dab @@ova @@t
dadat	dad @@a @@t
daktyloskopista	daktylo @@skop @@ist @@a
daktýlky	daktýl @@k @@y
dal	d @@a @@l
dala	d @@a @@l @@a
daleko	dal @@ek @@o
dalekou	dal @@ek @@ou
dalekých	dal @@ek @@ých
dalo	d @@a @@l @@o
další	dal @@š @@í
dalších	dal @@š @@ích
dalšího	dal @@š @@ího
dalším	dal @@š @@í @@m
dalšími	dal @@š @@ími
dalšímu	dal @@š @@ímu
dannunzia	dannunzi @@a
danost	d @@a @@n @@ost
daností	d @@a @@n @@ost @@í
danou	d @@a @@n @@ou
daná	d @@a @@n @@á
daní	dan @@í
daních	dan @@ích
daním	dan @@ím
daný	d @@a @@n @@ý
daných	d @@a @@n @@ých
daně	dan @@ě
dar	dar
dareba	dareb @@a
darebačit	dareb @@ač @@i @@t
darebo	dareb @@o
darebáku	dareb @@ák @@u
darem	dar @@em
daremná	daremn @@á
daremní	daremn @@í
darovaná	dar @@ova @@n @@á
darovat	dar @@ova @@t
daru	dar @@u
daruju	dar @@uj @@u
darwin	darwin
darwina	darwin @@a
darwinova	darwin @@ov @@a
daseins	daseins
data	dat @@a
datem	dat @@em
datovanými	dat @@ova @@n @@ými
datovat	dat @@ova @@t
daty	dat @@y
dav	dav
davu	dav @@u
daňové	daň @@ov @@é
daňový	daň @@ov @@ý
daňových	daň @@ov @@ých
dařilo	dař @@i @@l @@o
dařit	dař @@i @@t
dbát	db @@á @@t
dcera	dcer @@a
dceruška	dcer @@uš @@k @@a
dddo	dddo
de	de
debata	debat @@a
debatovat	debat @@ova @@t
debitovat	debit @@ova @@t
debutovat	debut @@ova @@t
decentralizovat	de @@centr @@al @@iz @@ova @@t
dechem	dech @@em
dechnout	dech @@nou @@t
dechová	dech @@ov @@á
dechu	dech @@u
decibel	deci @@bel
decimovat	decim @@ova @@t
dedikační	dedik @@ač @@n @@í
dedikovat	de @@dik @@ova @@t
dedukcí	de @@duk @@c @@í
defilovat	defil @@ova @@t
definice	defin @@ic @@e
definitivní	de @@fin @@it @@iv @@n @@í
definitivních	de @@fin @@it @@iv @@n @@ích
definitivně	de @@fin @@it @@iv @@n @@ě
definovaly	de @@fin @@ova @@l @@y
definovat	defin @@ova @@t
definovatelný	de @@fin @@ova @@teln @@ý
definovati	de @@fin @@ova @@ti
definována	de @@fin @@ová @@n @@a
definování	de @@fin @@ová @@n @@í
deformovat	de @@form @@ova @@t
defraudanta	de @@fraud @@ant @@a
defraudanti	de @@fraud @@ant @@i
defraudovat	de @@fraud @@ova @@t
degenerovat	de @@gener @@ova @@t
degradovat	de @@grad @@ova @@t
dehtovat	deht @@ova @@t
dehydrovat	de @@hydr @@ova @@t
dej	d @@e @@j
dejte	d @@ej @@te
dejvic	dejvic
deka	dek @@a
deklamovat	de @@klam @@ova @@t
deklarovanému	de @@klar @@ova @@n @@ému
deklasovat	de @@klas @@ova @@t
dekoltovat	dekolt @@ova @@t
dekorace	dekor @@ac @@e
dekorovat	dekor @@ova @@t
dekou	dek @@ou
dekretovat	dekret @@ova @@t
dekretovávající	dekret @@ová @@v @@aj @@íc @@í
dekretu	dekret @@u
dekretuje	dekret @@uje
deku	dek @@u
dekách	dek @@ách
dekáda	dek @@ád @@a
dekádách	dek @@ád @@ách
delegovat	de @@leg @@ova @@t
delfín	delfín
delicti	de @@lict @@i
delikátnostem	delikát @@n @@ost @@em
delikátního	delikát @@n @@ího
delonovsky	delon @@ov @@sk @@y
demarše	demarš @@e
demaskovat	de @@mask @@ova @@t
demilitarizovat	de @@milit @@ar @@iz @@ova @@t
demobilizovat	de @@mobil @@iz @@ova @@t
demokracie	demo @@krac @@ie
demokracii	demo @@krac @@i @@i
demokratická	demo @@krat @@ic @@k @@á
demokratizovat	demo @@krat @@iz @@ova @@t
demolovat	demol @@ova @@t
demonstrovat	de @@monstr @@ova @@t
demoralizovat	de @@moral @@iz @@ova @@t
demoralizuje	de @@moral @@iz @@uje
den	den
denaturalizovat	de @@natur @@al @@iz @@ova @@t
denaturovat	de @@natur @@ova @@t
dendrochronologický	dendr @@o @@chrono @@log @@ick @@ý
denního	den @@n @@ího
denormalizace	de @@norm @@al @@iz @@ac @@e
deník	den @@ík
depeše	de @@peš @@e
depešácký	depeš @@ác @@k @@ý
deponovat	de @@pon @@ova @@t
deprimovat	de @@prim @@ova @@t
deptaně	dept @@a @@n @@ě
deptat	dept @@a @@t
derby	derby
dermatovenerologie	dermat @@o @@vener @@o @@log @@i @@e
dervišů	derviš @@ů
deset	deset
deseti	deset @@i
desexualizovávaný	de @@sex @@ual @@izová @@v @@a @@n @@ý
desideria	desideria
deska	desk @@a
deskách	desk @@ách
destillata	destillata
destilovanou	destil @@ova @@n @@ou
destilované	destil @@ova @@n @@é
destilovat	destil @@ova @@t
destilát	destil @@át
destiláty	destil @@át @@y
destruovat	de @@stru @@ova @@t
desátá	desát @@á
desíti	desít @@i
desítiletích	desít @@i @@let @@ích
desítka	desít @@ka
detail	detail
detašovat	detaš @@ova @@t
detektiv	de @@tekt @@iv
detektivovi	de @@tekt @@iv @@ovi
detektivy	de @@tekt @@iv @@y
detektivům	de @@tekt @@iv @@ům
detektýv	de @@tekt @@ýv
detektývem	de @@tekt @@ýv @@em
detektývy	de @@tekt @@ýv @@y
detektývů	de @@tekt @@ýv @@ů
detektývům	de @@tekt @@ýv @@ům
determinismus	de @@termin @@ismus
deterministickému	de @@termin @@ist @@ic @@k @@ému
determinováno	de @@termin @@ová @@n @@o
detronizovat	de @@tron @@iz @@ova @@t
deutsche	deutsche
deutz	deutz
devadesát	deva @@desát
devadesáti	deva @@desát @@i
devalvovat	de @@valv @@ova @@t
devatero	devat @@er @@o
deváté	devát @@é
devátého	devát @@ého
devátým	devát @@ým
devíti	devít @@i
devět	devět
dewey	dewey
deweye	dewey @@e
deweyova	dewey @@ov @@a
deweyovi	dewey @@ovi
deweyovou	dewey @@ov @@ou
deweyově	dewey @@ov @@ě
dezertovat	dezert @@ova @@t
deziluze	dez @@iluz @@e
dezinfikovat	dez @@infik @@ova @@t
dezinteresovat	dez @@interes @@ova @@t
dezorganizovat	dez @@organ @@iz @@ova @@t
dezorientovat	dez @@orient @@ova @@t
dešifrovat	de @@šifr @@ova @@t
dešti	dešt @@i
deště	dešt @@ě
dešťové	dešť @@ov @@é
dg	d @@g
diagnostika	dia @@gnost @@ik @@a
diagnostikovat	dia @@gnos @@t @@ik @@ova @@t
diagnózovat	dia @@gnóz @@ova @@t
dialektice	dia @@lekt @@ic @@e
dialogizovat	dia @@log @@iz @@ova @@t
diamant	diamant
diamantech	diamant @@ech
diamantem	diamant @@em
diamanty	diamant @@y
diartův	diart @@ův
diavolo	diavolo
dickense	dickens @@e
die	die
diferencovat	difer @@enc @@ova @@t
diferovat	difer @@ova @@t
diktovat	dikt @@ova @@t
diletantism	dilet @@ant @@ism
dilogie	di @@log @@i @@e
dimenzovat	dimenz @@ova @@t
dio	dio
diplomata	diplom @@at @@a
diplomati	diplom @@at @@i
diplomovat	diplom @@ova @@t
direkci	di @@rek @@c @@i
direktivy	direkt @@iv @@y
dirigent	di @@rig @@ent
dirigoval	di @@rig @@ova @@l
disimilovat	di @@simil @@ova @@t
diskantový	dis @@kant @@ov @@ý
diskařský	disk @@ař @@sk @@ý
diskreditovat	dis @@kred @@it @@ova @@t
diskreditovávací	dis @@kredit @@ová @@v @@a @@c @@í
diskriminovat	dis @@krimin @@ova @@t
diskuse	dis @@kus @@e
diskusí	diskus @@í
diskutovat	diskut @@ova @@t
diskuzi	diskuz @@i
diskvalifikovat	dis @@kvali @@fik @@ova @@t
display	dis @@play
displayi	dis @@play @@i
disponovanost	dis @@pon @@ova @@n @@ost
disponovat	dis @@pon @@ova @@t
dispozici	dis @@pozic @@i
disputovat	disput @@ova @@t
distancovat	dist @@anc @@ova @@t
distrahujeme	dis @@trah @@uje @@me
distribuce	dis @@tribu @@c @@e
distribuci	dis @@tribu @@c @@i
distribuovat	dis @@tribu @@ova @@t
distributivním	dis @@tribu @@t @@iv @@n @@ím
distributorovi	dis @@tribu @@t @@or @@ovi
distributory	dis @@tribu @@t @@or @@y
distributorům	dis @@tribu @@t @@or @@ům
distributoři	dis @@tribu @@t @@oř @@i
distribuční	dis @@tribu @@č @@n @@í
div	div
divadel	div @@a @@del
divadla	div @@a @@dl @@a
divadle	div @@a @@dl @@e
divadlo	div @@adlo
divergovat	di @@verg @@ova @@t
dividendy	dividend @@y
divila	div @@i @@l @@a
divili	div @@i @@l @@i
divit	div @@i @@t
divizním	diviz @@n @@í @@m
divnou	div @@n @@ou
divná	div @@n @@á
divné	div @@n @@é
